type,title,rating,duration,listed_in,IMDb,c0,c1,c2,c3,c4,c5,c6
Movie,spin,TV_G,94 min,"ComingOfAge, Music",5.9,avantika,michael bishop,anna cathcart,jahbril cook,kerri medders,aryan simhadri,
TV Show,star wars vintage: droids,TV_Y7_FV,2 Seasons,"Action, Adventure, Animation, Fantasy",5.9,anthony daniels,r2_d2,lesleh donaldson,andrew sabiston,don francks,dan hennessey,
Movie,red tails,PG_13,126 min,"Action, Adventure, Drama, Historical",5.9,terrence howard,cuba gooding jr.,nate parker,david oyelowo,tristan wilds,ne_yo,
Movie,gnomeo & juliet,G,86 min,"Action, Adventure, Animation, Family",5.9,james mcavoy,emily blunt,matt lucas,ashley jensen,michael caine,jim cummings,
TV Show,marvel battleworld: mystery of the thanostones,TV_Y7_FV,1 Season,"Action, Adventure, Animation, Fantasy",5.9,giles panton,rebecca shoichet,jesse inocalla,brad swaile,deven mack,ian hanlin,
TV Show,wicked tuna: outer banks,TV_14,7 Seasons,"Animals_Nature, Docuseries, Family",5.9,bill ratner,,,,,,
Movie,texas storm squad,TV_14,44 min,Documentary,5.9,sam douglas,,,,,,
Movie,into the woods,PG,126 min,"Action, Adventure, Fantasy, Musical",5.9,meryl streep,emily blunt,james corden,anna kendrick,chris pine,tracey ullman,
Movie,planes: fire & rescue,PG,85 min,"Action, Adventure, Animation, Comedy",5.9,dane cook,ed harris,julie bowen,curtis armstrong,john higgins,hal holbrook,
TV Show,muppets now,TV_PG,1 Season,"Comedy, Family, Lifestyle",5.9,dave goelz,matt vogel,david rudman,peter linz,bill barretta,eric jacobson,
Movie,prom,PG,105 min,"Comedy, ComingOfAge, Drama",5.9,aimee teegarden,thomas mcdonell,de'vaughn nixon,danielle campbell,yin chang,jared kusnitz,
TV Show,disney i didn't do it,TV_G,2 Seasons,"Comedy, Family",5.9,olivia holt,austin north,piper curda,peyton clark,sarah gilman,,
TV Show,101 dalmatian street,TV_Y7,1 Season,"Action, Adventure, Animation, Comedy",5.9,josh brener,michaela dietz,ella kenion,rhashan stone,,,
Movie,beauty and the beast: the enchanted christmas,G,73 min,"Animation, Family, Fantasy",5.9,paige o'hara,robby benson,jerry orbach,david stiers,bernadette peters,tim curry,
Movie,cars toon: air mater,TV_G,5 min,"Animation, Comedy, Family",5.9,larry the cable guy ,keith ferguson,stacey keach,jonathan adams,jan rabson,lori alan,
